Obs.no,Gender,Age,Height,Weight,Education,Urbanity,FastFood,HouseholdIncome,Alone,Children,Labeling
579,0,41,166,77,4,2,4,7,0,1,0
580,1,64,179,93,4,3,4,7,0,0,1
581,0,59,167,61,3,1,1,7,0,0,1
582,1,42,186,83,3,5,3,7,0,1,1
583,0,38,172,78,3,5,3,7,0,1,0
584,0,56,165,90,3,2,3,7,0,0,1
585,0,50,162,56,3,3,4,7,0,1,0
586,0,38,178,68,3,5,4,7,0,1,1
587,0,28,162,57,3,5,4,7,0,0,0
588,1,28,183,75,3,3,4,7,0,1,0
589,0,35,167,73,3,5,4,7,0,1,1
590,1,27,200,80,3,5,5,7,0,1,0
591,1,31,172,65,3,4,5,7,0,0,1
592,1,50,186,130,3,4,5,7,0,0,0
593,1,28,167,67,4,3,2,7,0,0,1
594,0,57,178,60,4,5,3,7,0,0,0
595,1,67,170,62,4,5,3,7,0,0,1
596,0,37,157,60,4,2,3,7,0,1,1
597,1,50,187,93,4,3,3,7,0,1,0
598,1,58,173,81,4,3,3,7,0,0,0
599,1,55,196,110,4,5,3,7,0,0,1
600,1,47,186,100,4,5,3,7,0,1,0
601,1,38,196,133,4,2,3,7,0,0,1
602,0,31,155,57,4,5,4,7,0,0,1
603,0,51,172,102,4,3,4,7,0,0,0
604,1,45,185,120,4,4,4,7,0,1,0
605,1,50,183,100,4,5,5,7,0,0,0
606,1,44,180,120,4,2,5,7,0,0,0
607,0,37,162,69,2,2,3,7,0,1,1
608,1,53,179,94,2,5,3,7,0,0,1
609,0,47,166,85,2,3,3,7,0,0,0
610,0,50,173,102,2,2,3,7,0,0,1
611,0,33,165,63,2,5,4,7,0,1,1
612,1,34,197,95,2,5,4,7,0,1,0
613,0,38,167,71,2,3,4,7,0,1,0
614,0,38,172,72,2,5,3,7,0,0,0
615,0,30,169,79,2,2,4,7,0,1,1
616,0,60,158,85,1,5,1,7,0,0,1
617,1,68,170,89,1,4,2,7,0,0,1
618,1,53,184,78,1,1,3,7,0,1,1
619,0,55,164,69,1,4,3,7,1,0,1
620,1,57,183,95,1,2,3,7,0,0,0
621,1,45,180,93,1,3,3,7,0,0,1
622,0,55,172,60,1,1,4,7,0,0,0
623,1,41,185,99,1,2,4,7,0,1,0
624,0,27,165,53,5,5,3,8,0,0,1
625,0,25,162,52,5,5,3,8,0,0,1
626,1,37,190,86,5,5,3,8,1,0,0
627,0,41,160,70,5,5,3,8,0,1,1
628,1,37,200,115,5,4,3,8,0,1,1
629,1,36,180,110,5,5,3,8,0,0,1
630,0,57,170,72,5,1,4,8,0,0,1
631,1,35,175,80,5,2,4,8,0,0,1
632,1,56,182,89,5,5,4,8,0,0,1
633,1,36,171,79,5,5,4,8,0,1,1
634,1,42,179,93,5,5,4,8,0,1,0
635,0,33,165,90,5,1,4,8,0,0,1
636,1,30,195,80,5,2,5,8,0,1,0
637,1,62,178,104,5,5,5,8,0,0,1
638,0,69,167,59,4,5,1,8,0,0,1
639,0,55,163,73,4,2,1,8,0,0,1
640,0,53,189,130,4,5,1,8,0,0,1
641,0,60,170,67,4,2,2,8,0,0,0
642,1,60,180,81,4,4,2,8,0,0,1
643,0,56,168,50,4,2,3,8,0,0,1
644,0,36,170,55,4,2,3,8,0,1,1
645,0,33,180,65,4,5,3,8,0,0,0
646,0,31,170,60,4,5,3,8,0,0,1
647,0,56,158,52,4,3,3,8,0,0,1
648,0,55,170,62,4,1,3,8,0,1,1
649,0,49,178,68,4,5,3,8,0,0,1
650,0,64,178,74,4,5,3,8,0,0,0
651,1,62,184,80,4,2,3,8,0,0,1
652,1,64,182,79,4,4,3,8,0,0,0
653,1,62,175,74,4,1,3,8,0,0,0
654,0,69,167,68,4,5,3,8,0,0,0
655,1,44,186,89,4,3,3,8,0,1,1
656,1,63,174,78,4,3,3,8,0,0,1
657,1,58,178,90,4,3,3,8,0,0,0
658,1,61,175,93,4,1,3,8,0,0,0
659,0,45,164,82,4,2,3,8,0,0,1
660,1,36,174,94,4,5,3,8,0,1,1
661,1,51,190,127,4,2,3,8,0,0,0
662,0,33,168,60,4,4,4,8,0,0,1
663,1,49,192,86,4,5,4,8,0,0,0
664,1,42,182,80,4,5,4,8,0,1,0
665,1,63,176,76,4,2,4,8,0,0,1
666,1,33,187,86,4,5,4,8,0,0,1
667,0,35,165,70,4,1,4,8,0,1,0
668,1,31,191,100,4,5,4,8,0,0,0
669,0,37,167,99,4,2,4,8,0,1,1
670,1,35,182,82,4,5,5,8,0,1,0
671,0,49,161,71,3,4,2,8,0,1,1
672,1,59,192,90,3,5,3,8,0,0,1
673,0,57,165,68,3,1,3,8,0,0,0
674,0,40,165,53,3,3,4,8,0,1,0
675,0,39,189,89,3,1,4,8,0,0,0
676,1,30,190,108,3,5,4,8,0,0,1
677,0,51,168,75,4,2,2,8,0,0,1
678,1,47,188,111,4,1,2,8,0,1,1
679,0,62,162,58,4,5,3,8,0,0,0
680,1,67,176,70,4,3,3,8,0,0,1
681,0,46,171,69,4,2,3,8,0,1,1
682,1,52,191,105,4,4,3,8,0,1,1
683,1,31,180,110,4,5,3,8,0,1,1
684,0,31,175,64,4,1,4,8,0,1,1
685,0,37,165,58,4,2,4,8,0,1,1
686,1,56,180,74,4,3,4,8,0,0,1
687,0,32,175,107,4,3,4,8,0,1,1
688,1,62,167,99,4,2,4,8,0,0,1
689,1,38,175,77,4,5,5,8,0,0,1
690,0,44,170,78,2,5,3,8,0,1,1
691,1,49,189,104,2,3,3,8,0,1,1
692,0,46,178,90,2,3,3,8,0,1,1
693,1,54,182,95,2,1,3,8,0,0,0
694,0,20,167,50,2,1,4,8,0,0,0
695,0,56,174,69,2,3,5,8,0,1,1
696,0,52,168,75,1,1,2,8,0,0,1
697,0,54,190,94,1,5,3,8,0,0,1
698,1,63,172,98,1,4,3,8,0,0,1
699,1,51,184,85,1,3,4,8,0,1,1
700,1,50,190,105,1,2,4,8,0,1,1
701,1,32,186,89,5,5,4,9,0,1,1
702,1,63,200,91,5,5,2,9,0,0,1
703,0,30,179,62,5,5,3,9,0,0,1
704,1,33,168,59,5,5,3,9,0,0,1
705,0,52,162,60,5,5,3,9,0,1,0
706,1,35,181,75,5,3,3,9,1,0,1
707,0,56,163,61,5,5,3,9,0,0,1
708,1,63,185,83,5,2,3,9,0,0,1
709,1,41,180,90,5,4,3,9,0,1,1
710,0,34,176,62,5,5,4,9,0,1,1
711,1,46,175,68,5,5,4,9,0,1,1
712,1,31,180,72,5,5,4,9,0,0,0
713,0,36,180,74,5,5,4,9,0,1,1
714,1,64,189,85,4,5,1,9,0,0,1
715,1,53,170,66,4,3,2,9,0,0,0
716,1,55,186,100,4,4,2,9,0,0,1
717,1,49,180,95,4,2,2,9,0,0,0
718,0,36,170,56,4,2,3,9,0,1,0
719,0,45,176,61,4,5,3,9,0,1,1
720,1,45,181,72,4,5,3,9,0,0,0
721,1,31,180,73,4,4,3,9,0,0,1
722,1,57,180,74,4,2,3,9,0,0,1
723,1,50,180,77,4,5,3,9,0,1,1
724,1,51,175,78,4,3,3,9,0,1,1
725,1,39,185,88,4,2,3,9,0,1,0
726,1,60,170,90,4,5,3,9,0,0,0
727,0,53,170,97,4,4,3,9,0,0,1
728,0,35,173,54,4,5,4,9,0,1,1
729,0,42,173,57,4,4,4,9,0,1,0
730,0,55,168,68,4,5,4,9,0,0,1
731,0,37,164,69,4,2,4,9,0,1,0
732,1,48,181,85,4,2,4,9,0,1,1
733,1,53,182,95,3,5,2,9,0,0,1
734,0,43,178,60,3,5,3,9,0,0,1
735,1,57,172,99,3,2,3,9,0,0,0
736,1,37,182,79,3,2,4,9,0,1,1
737,1,64,182,106,4,5,2,9,0,0,0
738,1,40,188,80,4,5,3,9,0,1,1
739,1,52,184,89,4,3,3,9,0,1,0
740,0,49,159,87,4,2,3,9,0,0,1
741,1,50,197,95,4,5,4,9,0,1,1
742,1,49,183,93,4,4,4,9,0,1,0
743,1,55,173,92,4,5,4,9,0,0,1
744,0,36,162,58,2,4,3,9,0,1,0
745,1,56,180,74,2,2,3,9,0,0,0
746,0,42,165,63,2,2,5,9,0,1,1
747,0,20,175,72,2,4,4,9,0,0,0
748,1,52,184,96,1,2,3,9,0,0,1
749,1,59,178,88,1,3,4,9,0,0,1
750,0,45,170,58,5,5,1,10,0,1,1
751,0,63,167,57,5,3,3,10,0,0,1
752,1,62,189,79,5,5,3,10,0,0,0
753,0,33,169,64,5,2,3,10,0,1,0
754,0,40,190,88,5,3,3,10,0,1,0
755,1,44,189,89,5,5,3,10,0,0,1
756,0,63,165,69,5,5,3,10,0,0,0
757,0,39,169,76,5,5,3,10,0,1,1
758,0,35,178,69,5,5,4,10,0,1,1
759,1,42,173,80,5,4,4,10,0,1,1
760,1,30,173,83,5,5,4,10,0,1,0
761,0,55,172,91,5,5,4,10,0,0,1
762,1,36,172,56,4,5,3,10,0,0,1
763,0,50,168,60,4,5,3,10,0,1,1
764,1,65,185,98,4,1,3,10,0,0,1
765,0,45,166,80,4,1,3,10,0,1,0
766,1,41,178,93,4,3,3,10,0,1,1
767,0,51,165,82,4,4,3,10,0,0,1
768,1,45,186,88,4,3,4,10,0,1,1
769,1,52,185,112,4,3,4,10,0,1,1
770,0,45,168,60,4,3,5,10,0,1,0
771,1,40,190,100,4,2,5,10,0,1,1
772,0,47,164,56,3,4,3,10,0,1,1
773,0,54,162,57,3,5,3,10,0,0,1
774,0,55,165,65,3,2,3,10,0,0,1
775,0,47,168,69,3,5,3,10,0,1,1
776,0,49,170,75,3,2,3,10,0,0,0
777,1,43,179,84,3,4,3,10,0,1,0
778,1,37,156,52,3,4,4,10,0,0,1
779,1,34,185,95,3,5,4,10,0,1,1
780,0,68,170,95,4,5,1,10,0,0,1
781,1,55,172,73,4,5,2,10,0,0,1
782,1,47,185,93,4,2,3,10,0,0,0
783,1,51,183,94,2,3,3,10,0,0,0
784,1,65,170,54,5,4,1,11,0,0,1
785,0,42,192,93,5,5,4,11,0,1,1
786,0,57,161,53,5,5,1,11,0,0,0
787,0,38,172,60,5,5,3,11,0,1,1
788,0,35,168,60,5,2,3,11,0,1,0
789,1,55,180,72,5,2,3,11,0,0,0
790,0,40,176,70,5,2,3,11,0,1,0
791,1,61,178,72,5,3,3,11,0,0,0
792,0,35,168,65,5,5,3,11,0,1,1
793,1,52,184,80,5,5,3,11,0,1,1
794,0,55,162,64,5,5,3,11,0,0,1
795,0,35,163,65,5,3,3,11,0,1,1
796,1,30,180,80,5,5,3,11,0,0,1
797,1,48,185,85,5,5,3,11,0,0,1
798,1,67,190,91,5,5,3,11,0,1,0
799,1,61,181,84,5,4,3,11,0,0,1
800,0,44,178,82,5,5,3,11,0,1,0
801,1,41,184,90,5,5,3,11,0,1,1
802,0,50,172,79,5,5,3,11,0,0,1
803,1,47,181,90,5,5,3,11,0,1,1
804,1,55,181,92,5,5,3,11,0,1,1
805,1,52,179,95,5,5,3,11,0,1,1
806,1,48,172,92,5,5,3,11,0,1,1
807,1,36,190,120,5,5,3,11,0,0,1
808,0,54,178,107,5,2,3,11,0,0,1
809,0,32,180,72,5,3,4,11,0,1,1
810,1,43,169,69,5,5,4,11,0,1,0
811,1,41,193,90,5,5,4,11,0,1,0
812,1,47,184,83,5,3,4,11,0,0,0
813,0,41,169,71,5,3,4,11,0,1,1
814,1,42,190,90,5,2,4,11,0,1,1
815,0,43,172,74,5,5,4,11,0,0,1
816,0,42,172,74,5,5,4,11,0,1,1
817,1,34,186,97,5,5,4,11,0,1,0
818,1,50,162,79,5,5,4,11,0,1,1
819,0,38,172,96,5,5,4,11,0,1,0
820,1,33,190,90,5,3,7,11,0,1,0
821,0,54,171,59,4,5,2,11,0,0,1
822,1,44,175,63,4,5,2,11,0,1,1
823,0,62,163,80,4,1,2,11,0,0,1
824,0,39,174,60,4,5,3,11,0,0,1
825,0,43,162,58,4,5,3,11,0,1,1
826,1,39,194,86,4,1,3,11,0,1,0
827,0,55,165,64,4,2,3,11,0,1,1
828,0,35,165,65,4,2,3,11,0,1,1
829,1,40,184,82,4,5,3,11,0,1,1
830,0,49,160,70,4,3,3,11,0,1,1
831,1,49,179,120,4,2,3,11,0,0,1
832,1,27,178,74,4,5,4,11,0,0,1
833,1,52,194,91,4,5,4,11,0,0,0
834,1,44,191,102,4,5,4,11,0,1,0
835,1,50,171,100,4,5,4,11,0,0,1
836,0,35,163,63,4,3,5,11,0,0,1
837,1,44,178,73,3,5,3,11,0,1,1
838,0,49,173,74,3,5,3,11,0,1,1
839,0,54,170,75,3,1,3,11,0,0,1
840,1,56,175,95,3,5,3,11,0,0,1
841,1,47,170,67,3,5,4,11,0,1,1
842,1,36,196,101,3,5,4,11,0,1,1
843,1,45,185,90,3,3,4,11,0,1,1
844,1,45,179,89,3,3,4,11,0,0,1
845,1,44,177,70,4,3,4,11,0,1,1
846,1,48,176,81,2,5,3,11,0,0,1
847,1,24,180,69,2,3,5,11,0,1,1
